Epoch,Train Loss,Val Loss,Val Valence RMSE,Val Arousal RMSE,Val Overall RMSE,Val Valence MAE,Val Arousal MAE,Val Valence R2,Val Arousal R2
146,0.2466,0.8277,0.2455,0.1314,0.1969,0.1913,0.1072,-0.1353,-0.026
147,0.2383,0.829,0.2481,0.1325,0.1989,0.1933,0.1071,-0.1596,-0.0432
148,0.2347,0.831,0.2534,0.1311,0.2018,0.1968,0.106,-0.2104,-0.022
149,0.2454,0.833,0.2454,0.1335,0.1976,0.1938,0.108,-0.1349,-0.06
150,0.244,0.8298,0.243,0.1339,0.1961,0.1903,0.1084,-0.1123,-0.0651
151,0.2299,0.8365,0.2527,0.1334,0.2021,0.1963,0.1087,-0.2036,-0.0577
152,0.2291,0.8534,0.2559,0.1371,0.2053,0.199,0.1117,-0.2339,-0.1174
153,0.2401,0.8315,0.2538,0.1298,0.2016,0.196,0.1066,-0.214,-0.0023
154,0.22,0.8297,0.2473,0.1322,0.1983,0.1921,0.1081,-0.1524,-0.0382
155,0.2266,0.8361,0.2497,0.1351,0.2007,0.1954,0.1092,-0.1748,-0.0847
156,0.2223,0.8478,0.2608,0.135,0.2077,0.2018,0.1084,-0.282,-0.0833
157,0.2426,0.8396,0.2517,0.1361,0.2023,0.1976,0.1091,-0.1934,-0.1011
158,0.2301,0.8578,0.2489,0.1353,0.2003,0.1974,0.1087,-0.1676,-0.0881
159,0.262,0.8288,0.2378,0.1287,0.1912,0.1879,0.1039,-0.0656,0.0159
160,0.247,0.8317,0.2441,0.1314,0.196,0.1917,0.1059,-0.1228,-0.0271
161,0.2521,0.8372,0.2582,0.1315,0.2049,0.2001,0.1065,-0.256,-0.0286
162,0.2704,0.8206,0.2526,0.1349,0.2025,0.1956,0.11,-0.2022,-0.0818
163,0.2155,0.8752,0.2587,0.1417,0.2085,0.207,0.1153,-0.2608,-0.1933
164,0.2763,0.8525,0.2514,0.1364,0.2022,0.1991,0.1107,-0.1911,-0.1052
165,0.2629,0.8144,0.2416,0.1294,0.1938,0.1894,0.1055,-0.0997,0.0039
166,0.216,0.8325,0.2519,0.1304,0.2006,0.1972,0.1058,-0.196,-0.0101
167,0.2341,0.83,0.2495,0.1344,0.2004,0.1947,0.1081,-0.173,-0.0737
168,0.213,0.8537,0.2554,0.1389,0.2056,0.2008,0.1117,-0.2291,-0.1477
169,0.2239,0.8386,0.2528,0.1366,0.2032,0.1979,0.11,-0.2039,-0.1098
170,0.2086,0.8319,0.2518,0.1338,0.2016,0.1965,0.1082,-0.1944,-0.0638
171,0.1991,0.8325,0.2492,0.1327,0.1996,0.1933,0.107,-0.17,-0.0476
172,0.2109,0.8236,0.2491,0.1304,0.1988,0.1916,0.1053,-0.1696,-0.0101
173,0.2036,0.8232,0.2519,0.1304,0.2006,0.1952,0.1063,-0.1959,-0.0108
174,0.2066,0.8295,0.2512,0.1342,0.2014,0.1931,0.1088,-0.1891,-0.0714
175,0.2052,0.8328,0.2551,0.1369,0.2047,0.1965,0.1112,-0.2261,-0.1142
176,0.1992,0.8389,0.256,0.136,0.205,0.1974,0.1106,-0.2349,-0.0999
177,0.1909,0.8447,0.2507,0.1335,0.2009,0.1945,0.1081,-0.1845,-0.0598
178,0.2082,0.8339,0.2443,0.1302,0.1958,0.1912,0.1057,-0.125,-0.008
179,0.1974,0.8386,0.2511,0.1322,0.2007,0.1956,0.1073,-0.1881,-0.0387
180,0.2032,0.8469,0.2551,0.1373,0.2048,0.198,0.1114,-0.2259,-0.121
181,0.2001,0.8393,0.2561,0.1372,0.2055,0.1979,0.1118,-0.2363,-0.1197
182,0.1923,0.8341,0.2549,0.1341,0.2036,0.1977,0.1094,-0.2241,-0.069
183,0.1984,0.8245,0.246,0.132,0.1974,0.1893,0.1078,-0.1402,-0.0365
184,0.189,0.8264,0.2452,0.1321,0.1969,0.189,0.1074,-0.1327,-0.0378
185,0.191,0.8266,0.2524,0.1322,0.2014,0.1949,0.108,-0.2002,-0.0384
186,0.1962,0.825,0.2489,0.1356,0.2004,0.1917,0.1105,-0.1673,-0.0937
187,0.1786,0.8422,0.2513,0.1384,0.2029,0.1956,0.1123,-0.1902,-0.1395
188,0.1933,0.8348,0.2497,0.1369,0.2014,0.192,0.1111,-0.1751,-0.1144
189,0.1889,0.8332,0.2497,0.1349,0.2007,0.1919,0.1098,-0.1749,-0.0823
190,0.1761,0.8335,0.25,0.1357,0.2012,0.1919,0.1105,-0.1779,-0.0947
191,0.18,0.8207,0.2477,0.1344,0.1993,0.1906,0.1098,-0.1561,-0.0742
192,0.1802,0.8205,0.2448,0.1353,0.1978,0.1887,0.1107,-0.1296,-0.0886
193,0.1826,0.8212,0.2458,0.1348,0.1983,0.189,0.1106,-0.1387,-0.081
194,0.188,0.8257,0.2532,0.1329,0.2022,0.1959,0.1092,-0.2085,-0.0496
195,0.1927,0.8221,0.2506,0.1324,0.2004,0.1929,0.1089,-0.1829,-0.042
196,0.1943,0.8375,0.2485,0.1352,0.2,0.191,0.1103,-0.1636,-0.0859
197,0.1937,0.8386,0.2484,0.1361,0.2003,0.192,0.1109,-0.1631,-0.1013
198,0.2003,0.8183,0.2451,0.1366,0.1984,0.1892,0.1111,-0.1317,-0.11
199,0.1732,0.8258,0.2525,0.1363,0.2029,0.1965,0.1108,-0.2014,-0.1048
